rank,name,wpm,raw,accuracy,consistency,diff
459,zombiejose,114.60,115.60,96.38,72.99,1.00
460,XzYZZxY,114.60,128.20,94.70,84.57,13.60
461,SimplyMad,114.60,125.00,92.86,76.13,10.40
462,psjee,114.60,137.60,89.62,71.95,23.00
463,Grassm8,114.59,114.59,99.31,82.08,0.00
464,arnav7t,114.59,116.19,96.82,78.33,1.60
465,evansacharya,114.50,125.29,94.79,77.34,10.79
466,maxjvot,114.39,120.59,96.70,78.56,6.20
467,AokaCheese,114.39,122.59,91.07,70.61,8.20
468,Dinglet,114.19,118.39,95.07,75.60,4.20
469,twinturbo,114.19,128.59,93.49,81.66,14.40
470,A.hany,114.17,117.96,98.31,83.44,3.79
471,clear24max,114.17,128.57,91.86,71.75,14.40
472,Heejae,114.00,116.00,96.79,79.03,2.00
473,_antidote_,113.99,117.19,97.47,73.68,3.20
474,NonCosiVeloce,113.99,117.39,96.83,79.27,3.40
475,antishota,113.99,122.19,94.20,77.35,8.20
476,ClickClackThock,113.98,127.18,94.36,79.33,13.20
477,oiahsef,113.98,125.98,91.50,71.62,12.00
478,NIGHTFURY24215,113.96,115.16,99.14,82.07,1.20
479,Yakuyan,113.80,115.00,98.46,81.39,1.20
480,ykahveci,113.80,113.80,97.11,76.08,0.00
481,zidanman,113.80,114.80,94.48,69.36,1.00
482,Sprint_7834,113.80,124.80,93.94,82.06,11.00
483,Comodo_,113.78,116.38,96.66,81.13,2.60
484,Astromechanic,113.60,117.80,96.97,76.47,4.20
485,oedipus,113.60,118.40,96.39,79.58,4.80
486,tynji,113.60,119.20,94.53,62.66,5.60
487,szd.r,113.60,124.00,93.96,79.95,10.40
488,Visinial,113.59,118.19,96.38,75.98,4.60
